local_identifier,title,subtitle,title_alternative,sort_order,series_title,description,provenance,note,abstract,date_full,date_note,personal_name,personal_name_addressee,personal_name_artist,personal_name_author,personal_name_cartographer,personal_name_compiler,personal_name_composer,personal_name_contributor,personal_name_dedicatee,personal_name_editor,personal_name_illustrator,personal_name_interviewee,personal_name_interviewer,personal_name_owner,personal_name_photographer,personal_name_publisher,personal_name_publishingdirector,personal_name_speaker,personal_name_translator,corporate_name,corporate_name_addressee,corporate_name_author,corporate_name_owner,corporate_name_photographer,family_name,type,genre,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_visual_materials,publisher_name,place_of_publication,language,extent,building_name,subject_personal_name,subject_corporate_name,subject_family_name,subject_geographic,subject_topical,ismemberof,ispartof,sequence_id,shelf_location,physical_location,restrictions_on_access,rights_statements,audios,images,models,videos,documents
(required),(required),,,,,,,,,(required),,,,,,,,,,,,,,,,,,,,,,,,,,,(required),(required),(required),(required),(required),(required),(required),,,(required),(required),,,,,,,(required),(required),(required),,,(required - constant value),,,,,,
yhm-com-bnl-mss-0111,Letter from Mrs. Harris to friends at F. G. ,,,,,,,,,1893-01-23,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0112,Letter from Dovie,,,,,,,,,1893-02-07,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0113,Letter to Arthur A. Cuthbert,,,,,,,,,1893-02-12,,,"Cuthbert, Arthur A.",,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0114,Letter from Dovie,,,,,,,,,1893-03-09,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0115,Letter from Dovie,,,,,,,,,1893-03-16,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0116,Letter to Lady Dovie,,,,,,,,,1893-03-19,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0117,Letter from Dovie,,,,,,,,,1893-03-20,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0118,Letter from Dovie to Kanaye Nagasawa ,,,,,,,,,1893-03-30,,,"Nagasawa, Kanaye",,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,3 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0119,Letter from Dovie,,,,,,,,,1893-04-07,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
