node_uuid,row_number,mods_titleinfo_title,sort_order,type,mods_genre_authority_local,mods_genre_subgenre_authority_local,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_realia,subgenre_visual_materials,mods_personal_name_author,mods_personal_name_editor,mods_personal_name_photographer,mods_personal_name_addressee,mods_name_personal_namepart_refined,family_name,mods_origininfo_dateother,mods_origininfo_datecreated,date_full,date_note,mods_language_languageterm_text,mods_physicaldescription_extent,mods_abstract,mods_subject_geographic,mods_subject_corporate_name,mods_subject_personal_name,mods_subject_topic,mods_subject_family_name,ismemberof,ispartof,sequence_id,mods_identifier_local,mods_location_shelflocator,pid,mods_accesscondition_restriction_on_access,mods_accesscondition_use_and_reproduction,mods_recordinfo_recordcontentsource,mods_relateditem_host_titleinfo_title,mods_recordinfo_recordcreationdate,documents,images,texts,videos,audios
a13640b7-69d2-4aa1-8b7f-826c04750f79,1,"Brothertown Indian records, 1774-1828",001,Manuscript,Manuscripts,"Covenants, laws, and legal and land records",,,"Covenants, laws, and legal and land records",,,,"Johnson, Guy, approximately 1740-1788|@|Wyllys, George, 1710-1796|@|Clinton, George, 1739-1812|@|Harpur, Robert, 1731-1825|@|Jones, Samuel, 1734-1819|@|L’Hommedieu, Ezra, 1734-1811|@|Eddy, Thomas, 1758-1827|@|Jay, John, 1745-1829|@|Floyd, William, 1734-1821|@|Lewis, Morgan, 1754-1844|@|Hitchcock, Zina, 1755-1832|@|Kirkland, Joseph, 1770-1844|@|Fowler, David, 1735-1807|@|Tuhie, John, 1744-1811|@|Skeesuck, John, approximately 1746-approximately 1807|@|Wauby, Isaac, 1762-|@|Pryor, Edmund, 1755-|@|McNeil, Henry|@|Hart, Thomas, 1749-1811|@|Dick, William, 1786-1869|@|Abner, Randall, 1789-1852|@|Marthers, Eliphalet, 1783-1851",,,,,,1785-02-04|@|1785-02-04|@|1785-02-04|@|1794-09-17|@|1794-09-17|@|1774-1804|@|1794-09-17,1774-10-04|@|1774-10-04|@|1774-10-04,1774-10-04|@|1785-02-04|@|1794-09-17|@|1804-XX-XX|@|1828-06-02,,English,87 images,"Copies of treaties, assignments of lots within Brotherton lands, accounts forwarded by the Superintendents to the Governor of New York. Large manuscript daybook entitled “Brothertown Records” on the spine, with copies of treaties, assignments of lots, accounts of transactions from 1774-1804.",Oneida County (N.Y.)|@|Stockbridge (N.Y. : Town)|@|Brothertown (N.Y.),New York (State). Governor (1777-1795 : Clinton)|@|Brotherton Indians|@|Oneida Indians|@|Oneida Nation of New York,,Indian land transfers|@|Indians of North America|@|Land tenure|@|Treaties,,94608942-674a-496f-b98b-af5a9f480fc0,,,yhm-spe-bro-02-records,Hamilton College Library Rare Books and Special Collections|@|Brothertown Indian Nation Collection|@|CNYSMC Series 25 v.2,hamLibSparc:12381786,There are no restrictions on access to this resource.,https://rightsstatements.org/page/NKC/1.0/?language=en,"Hamilton College Library, Clinton, New York, United States",Hamilton College Library Digital Collections|@|Brothertown Indian Nation Records,2018-01-01T00:00:00Z|@|2018-01-01T00:00:00.000Z|@|2018,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records.pdf,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records.txt,,
4e15bbf0-4fe5-41b3-b5b6-cf10b6cb033d,2,"Page 1 - Brothertown Indian records, 1774-1828",002,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,yhm-spe-bro-02-records_s001,,hamLibSparc:12381950,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s001.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s001.txt,,
383fdfce-bf9c-4bba-8b1a-697d9d7efd04,3,"Page 2 - Brothertown Indian records, 1774-1828",003,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,yhm-spe-bro-02-records_s002,,hamLibSparc:12381951,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s002.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s002.txt,,
d68a037d-485d-4d42-81c7-af11e842b6ee,4,"Page 3 - Brothertown Indian records, 1774-1828",004,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,yhm-spe-bro-02-records_s003,,hamLibSparc:12381952,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s003.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s003.txt,,
b69eb0b3-94fb-4011-b581-2337b4980af5,5,"Page 4 - Brothertown Indian records, 1774-1828",005,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,yhm-spe-bro-02-records_s004,,hamLibSparc:12381953,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s004.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s004.txt,,
2c3cf3ba-eab1-465b-9a3f-eee0c2680b44,6,"Page 5 - Brothertown Indian records, 1774-1828",006,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,yhm-spe-bro-02-records_s005,,hamLibSparc:12381954,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s005.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s005.txt,,
87590b53-5132-4354-8aff-93383f154af1,7,"Page 6 - Brothertown Indian records, 1774-1828",007,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,yhm-spe-bro-02-records_s006,,hamLibSparc:12381955,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s006.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s006.txt,,
39124282-4e72-4670-aecc-349cd2790119,8,"Page 7 - Brothertown Indian records, 1774-1828",008,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,yhm-spe-bro-02-records_s007,,hamLibSparc:12381956,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s007.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s007.txt,,
8cdeed93-7ebc-4534-ad3e-86b5b97da921,9,"Page 8 - Brothertown Indian records, 1774-1828",009,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,yhm-spe-bro-02-records_s008,,hamLibSparc:12381957,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s008.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s008.txt,,
db433b50-1bb5-4247-be5f-904e0f366e22,10,"Page 9 - Brothertown Indian records, 1774-1828",010,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,yhm-spe-bro-02-records_s009,,hamLibSparc:12381958,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s009.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-02-records_s009.txt,,
